JobTitle,Salary,Location,TechStack
Software Engineer,$0-999,Pakistan,Python
Research Scientist,"30,000-39,999",Mexico,Python
Data Scientist,"15,000-19,999",India,Python
Program/Project Manager,"2,000-2,999",Nigeria,Python
Research Scientist,"10,000-14,999",Greece,Python
Data Analyst,"2,000-2,999",Belgium,Python
Data Scientist,$0-999,Pakistan,Python
Data Scientist,"1,000-1,999",Turkey,Python
Machine Learning Engineer,"100,000-124,999",Brazil,Python
Machine Learning Engineer,"25,000-29,999",Poland,Python
Research Scientist,$0-999,Brazil,Python
Data Scientist,$0-999,"Iran, Islamic Republic of...",Python
Data Scientist,"100,000-124,999",India,Python
Data Analyst,"7,500-9,999",Egypt,Python
Software Engineer,"2,000-2,999",Japan,Python
Software Engineer,"15,000-19,999",United States of America,Python
Machine Learning Engineer,"4,000-4,999",Viet Nam,Python
Data Scientist,"100,000-124,999",Israel,Python
Data Analyst,$0-999,China,Python
Machine Learning Engineer,"1,000-1,999",India,Python
Data Scientist,"100,000-124,999",United States of America,Python
Business Analyst,"60,000-69,999",Other,Python
Data Scientist,$0-999,Russia,Python
Machine Learning Engineer,$0-999,India,Python
Program/Project Manager,"2,000-2,999",India,Python
Machine Learning Engineer,$0-999,Russia,Python
Data Scientist,"40,000-49,999",Japan,Python
Data Engineer,$0-999,Russia,Python
Data Analyst,$0-999,China,Python
Business Analyst,"7,500-9,999",Other,Python
Program/Project Manager,"3,000-3,999",Turkey,Python
Research Scientist,"3,000-3,999",France,Python
Data Engineer,"300,000-499,999",United States of America,Python
Business Analyst,"20,000-24,999",China,Python
Research Scientist,"200,000-249,999",United States of America,Python
Software Engineer,"50,000-59,999",Other,Python
Business Analyst,"20,000-24,999",India,Python
Data Scientist,"20,000-24,999",Tunisia,Python
Data Scientist,"70,000-79,999",United States of America,Python
Software Engineer,"125,000-149,999",United States of America,Python
Data Scientist,"10,000-14,999",Argentina,Python
Business Analyst,"60,000-69,999",United States of America,Python
Data Scientist,$0-999,India,Python
Machine Learning Engineer,"10,000-14,999",India,Python
Software Engineer,"40,000-49,999",Italy,Python
Software Engineer,"7,500-9,999",India,Python
Data Analyst,"1,000-1,999",India,Python
Data Scientist,"4,000-4,999",I do not wish to disclose my location,Python
Software Engineer,"25,000-29,999",France,Python
Data Scientist,"100,000-124,999",United States of America,Python
Data Analyst,"100,000-124,999",Israel,Python
Program/Project Manager,"10,000-14,999",India,Python
Data Engineer,"30,000-39,999",Colombia,Python
Program/Project Manager,"60,000-69,999",India,Python
Data Scientist,"30,000-39,999",Poland,Python
Research Scientist,"40,000-49,999",France,Python
Data Scientist,"100,000-124,999",Other,Python
Software Engineer,$0-999,Other,Python
Research Scientist,"50,000-59,999",Sweden,Python
Data Scientist,"40,000-49,999",Chile,Python
Software Engineer,"40,000-49,999",Other,Python
Data Engineer,$0-999,India,Python
Machine Learning Engineer,"10,000-14,999",Saudi Arabia,Python
Data Scientist,$0-999,India,Python
Data Engineer,"80,000-89,999",United Kingdom of Great Britain and Northern Ireland,Python
Data Analyst,"100,000-124,999",United States of America,Python
Data Scientist,$0-999,India,Python
Product Manager,"90,000-99,999",South Africa,Python
Data Engineer,"5,000-7,499",India,Python
Data Scientist,"125,000-149,999",Singapore,Python
Software Engineer,"25,000-29,999",Spain,Python
Machine Learning Engineer,$0-999,Morocco,Python
Program/Project Manager,$0-999,Nigeria,Python
Business Analyst,"125,000-149,999",Austria,Python
Data Scientist,"100,000-124,999",Singapore,Python
Product Manager,"80,000-89,999",United States of America,Python
Software Engineer,$0-999,India,Python
Software Engineer,"10,000-14,999",India,Python
Software Engineer,$0-999,India,Python
Statistician,$0-999,Turkey,Python
Program/Project Manager,"10,000-14,999",Kenya,Python
Research Scientist,"25,000-29,999",Brazil,Python
Data Scientist,"250,000-299,999",United States of America,Python
Data Analyst,"5,000-7,499",Brazil,Python
Data Scientist,"200,000-249,999",United States of America,Python
Data Scientist,"60,000-69,999",Sweden,Python
Data Scientist,$0-999,Turkey,Python
Business Analyst,"25,000-29,999",Russia,Python
Data Engineer,"20,000-24,999",Other,Python
Research Scientist,"4,000-4,999",Egypt,Python
Data Scientist,"60,000-69,999",India,Python
Data Scientist,"10,000-14,999",France,Python
Machine Learning Engineer,"1,000-1,999",Colombia,Python
Machine Learning Engineer,"30,000-39,999",India,Python
Data Analyst,"10,000-14,999",India,Python
Program/Project Manager,"20,000-24,999",Argentina,Python
Data Scientist,$0-999,Australia,Python
Software Engineer,"3,000-3,999",Other,Python
Data Scientist,"7,500-9,999",Hong Kong (S.A.R.),Python
Machine Learning Engineer,"60,000-69,999",Japan,Python
